"","english","spanish","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"1","ant","hormiga","ant",0.00665863590997765,-1.25992313542144,-1.1783226702881,"nouns"
"2","baby","bebé","baby",0.311237544369016,2.70463500295774,2.1467483259623,"other"
"3","balloon","globo/bomba","balloon",1.06533257385726,2.15546948685379,1.12331999484342,"nouns"
"4","bathtub","tina","bathtub",0.969929812970977,-0.0467614027972119,-1.03161155026685,"nouns"
"5","beans","frijoles","beans",0.125482592477897,-1.10364924113571,-0.749414019174512,"nouns"
"6","belly button","ombligo","belly button",3.40055247445013,0.614156531261629,-1.22990216478092,"nouns"
"7","bib","babero","bib",0.312153657353644,-0.598437909536428,-1.15714503975193,"nouns"
"8","bicycle","bicicleta","bicycle",0.965501236993074,0.0821979228614394,-0.900401302149996,"nouns"
"9","blow","soplar","blow",0.210920383199404,-1.12469122829078,-1.58395192027237,"verbs"
"10","box","caja","box",1.11567265371102,-0.225605537081118,-1.28185960391874,"nouns"
"11","brush","cepillo","brush (object)",0.0648576966089447,0.016126673772207,-0.238545069083071,"nouns"
"12","bunny","conejo","bunny",2.86664032250624,0.634910650761849,-1.05820491602804,"nouns"
"13","butterfly","mariposa","butterfly",1.9466532651829,-0.684259411734511,-2.07948457821586,"nouns"
"14","button","botón","button",0.741894219811773,-0.10118917099063,-0.962521986928681,"nouns"
"15","cake","pastel","cake",0.0230863273813504,-0.200029227054141,-0.351971082319076,"nouns"
"16","chair","silla","chair",0.0259746688322981,0.75317346518136,0.914340052389435,"nouns"
"17","cheek","cachete","cheek",0.616418643176447,-0.858408525946628,-1.64353185586139,"nouns"
"18","chicken (food)","pollo","chicken (food)",1.49332768144356,-0.498641200531749,0.72337667226863,"nouns"
"19","close","cerrar","close",0.0706093271938081,-1.41514183887836,-1.6808659950889,"verbs"
"20","cloud","nube","cloud",0.0218126012486784,-1.91169526626808,-2.05938616391813,"nouns"
"21","coffee","café","coffee",0.064157684073958,-1.42032567459183,-1.16703200298917,"nouns"
"22","cookie","galleta","cookie",0.616828154180657,1.99222550052602,1.20684141984914,"nouns"
"23","couch","sillón","couch",4.04673040893404,-1.66442488912834,-3.67607356842949,"nouns"
"24","crib","cuna","crib",2.08177856537106,-1.95589230317169,-0.513055318141485,"nouns"
"25","cry","llorar","cry",7.68525320238107e-05,-1.07190481592431,-1.08067137351688,"verbs"
"26","daddy*","papá","daddy",1.39409418656114,4.13616138212035,2.95544372469282,"other"
"27","dance","bailar","dance",0.243405504925214,-0.892295110902217,-0.398933676530606,"verbs"
"28","diaper","pañal","diaper",0.114488203530045,1.33755680335365,0.999195748369413,"nouns"
"29","doll","muñeca","doll",0.090002152978822,0.00461437528159713,-0.29538921299498,"nouns"
"30","dress (object)","vestido","dress (object)",0.00179156213999849,-1.72956867402665,-1.68724182510072,"nouns"
"31","eat","comer(se)","eat",0.535837559118394,0.945229150097936,0.213219888463635,"verbs"
"32","eye","ojos","eye",2.97186975569917,2.75067420142489,1.02676302166557,"nouns"
"33","face","cara","face",0.797844031887721,-1.24858162240025,-0.355360467317298,"nouns"
"34","finger","dedo","finger",0.102898864388237,-0.0990651849452073,0.221713343619653,"nouns"
"35","foot","pies","foot",0.00038900184890232,0.666808891453094,0.6470857616583,"nouns"
"36","girl","niña","girl",2.06422200684222,-0.985911103548857,0.450828958829241,"other"
"37","glasses","lentes","glasses",0.52159404208706,-0.731135815596577,-1.45335049426703,"nouns"
